ULTIMA ATUALIZACAO;05/12/2020 02:00
NUMERO_CONTRATO;UNIDADE_GESTORA;CONTRATADA;CNPJ;OBJETO;DATA_ASSINATURA;DATA_PUBLICACAO;INICIO_VIGENCIA;FIM_VIGENCIA;MODALIDADE;NUMERO_LICITACAO;PROCESSO
"CS-CS/20080010";"Senado Federal";"CONSELHO NACIONAL DE JUSTIÇA - CNJ.";"07.421.906/0001-29";"Cessão de Uso do espaço fisico, localizado na sala 11, 17º andar do Edifício Anexo I do Senado, com área de 12,73m², para instalação da Assessoria Parlamentar do Conselho Nacaional de Justiça.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002180/2008-73"
"CS-CS/20080011";"Senado Federal";"DIRETÓRIO NACIONAL DOS DEMOCRATAS.";"01.633.510/0001-69";"Cessão de Uso de espaço físico, localizado nas Salas nº 01, 02, 03, 04, 05 e 06, do 26º andar do Edifício Anexo I do SENADO FEDERAL, com área de 210,94m², para a instalação do Diretório Nacional dos Democratas.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002321/2008-58"
"CS-CS/20080012";"Senado Federal";"FUNDAÇÃO ULYSSES GUIMARÃES";"00.628.131/0001-18";"Cessão de Uso do espaço fisico, localizado nas salas 08, 09 e 10, do 17º andar do Anexo I do Senado, com área de 82,62mº, para instalação da Fundação Ulysses Guimarães.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.003922/2008-88"
"CT-CT/20080033";"Senado Federal";"INSTITUTO BRASILIENSE DE DIREITO PÚBLICO - IDP - MANTENEDOR DA ESCOLA DE DIREITO E ADMINISTRAÇÃO PÚBLICA - EDAP.";"02.474.172/0001-22";"Realização do Curso de Pós-Graduação Lato Sensu em Direito Constitucional, a ser ministrado pelo Instituto Brasiliense de Direito Público IDP Ltda.";"20/03/2008";"14/05/2008";"20/03/2008";"";"Inexigibilidade";"";"200.002470/2008-17"
"CS-CS/20080018";"Senado Federal";"INSTITUTO TANCREDO NEVES";"01.610.922/0001-83";"Cessão de Uso do espaço fisico, localizado nas salas 07, 08 e 09, do 26º andar, do Edificio Anexo I, do Senado, com área de 82,62m², para instalação do Instituto Tancredo Neves.";"01/01/2008";"25/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002317/2008-90"
"CS-CS/20080022";"Senado Federal";"ITAÚ UNIBANCO S.A.";"60.701.190/0001-04";"Permissão de Uso do espaço fisico, localizado no Edificio Anexo II, Bloco A - Hall de entrada do Senado, com área de 4,00m², para instalação de equipamento de um Caixa Eletrônico do UNIBANCO.";"01/01/2008";"19/05/2008";"01/01/2008";"";"Não se Aplica";"";"200.002768/2008-27"
"CS-CS/20080013";"Senado Federal";"MINISTÉRIO DA DEFESA";"03.277.610/0001-25";"Cessão de Uso do espaço físico, localizado na sala 09 do 27º andar do Edificio Anexo I do Senado, com área de 27,70m², para instalação da Assessoria Parlamentar do Ministério da Defesa.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002322/2008-01"
"CS-CS/20080016";"Senado Federal";"PARTIDO PROGRESSISTA - PP";"00.887.169/0001-05";"Cessão de Uso do espaço fisico, localizado nas salas 01, 02, 03 e 04, do 17º andar do Edificio Anexo I, do Senado, com área de 123,70m², para instalação do Partido Progressista.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002624/2008-71"
"TE-TD/20080001";"Senado Federal";"PRECEPTOR EDUCAÇÃO A DISTANCIA";"07.633.844/0001-19";"Doação ao SENADO FEDERAL do software Preceptor - gerenciador de educação a distância - sem encargo de qualquer natureza.";"08/07/2008";"11/07/2008";"08/07/2008";"";"Não se Aplica";"";"200.005422/2008-81"
"CS-CS/20080029";"Senado Federal";"SUPERIOR TRIBUNAL DE JUSTIÇA - STJ";"00.488.478/0001-02";"Cessão de Uso do espaço fisico, localizado na sala 11 do 17º andar do Edificio Anexo I do Senado, com área de 12,73m², para instalação da Assessoria Parlamentar do Superior Tribunal de Justiça.";"09/09/2008";"11/09/2008";"09/09/2008";"";"Não se Aplica";"";"200.014039/2008-13"
"CS-CS/20080002";"Senado Federal";"SUPERIOR TRIBUNAL MILITAR - STM.";"00.497.560/0001-01";"Cessão de Uso do espaço fisico, localizado na sala 02 do 27º andar do Edifício Anexo I do Senado Federal, com área de 25,84m², para instalação da Asessoria Parlamentar do STM.";"01/01/2008";"02/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002914/2008-14"
"CS-CS/20080003";"Senado Federal";"SUPREMO TRIBUNAL FEDERAL - STF";"00.531.640/0001-28";"Cessão de Uso do espaço fisico, localizado na sala 11 do 19º andar do Edifício Anexo I do Senado, com área de 12,73m², para instalação da Assessoria Parlamentar do STF.";"01/01/2008";"02/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002464/2008-60"
"CN-AC/20080034";"Senado Federal";"SUPREMO TRIBUNAL FEDERAL - STF";"00.531.640/0001-28";"Estabelecimento de parceria entre o Senado Federal e o Supremo Tribunal Federal, com vistas à participação do Brasil no Projeto GLIN - ""Global Legal Information Network"", da Biblioteca do Congresso dos Estados Unidos da América.";"26/11/2008";"28/11/2008";"26/11/2008";"";"Não se Aplica";"";"200.022211/2008-11"
"CS-CS/20080019";"Senado Federal";"TESOURARIA NACIONAL DO PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO/PMDB";"00.676.213/0001-38";"Cessão de Uso do espaço fisico, localizado nas salas 08, 09 e 10, do 17º andar do Edificio Anexo I do Senado, com área de 82,62², para instalação da Tesouraria Nacional do Paretido do Movimento Democrático Brasileiro / PMDB.";"01/01/2008";"13/05/2008";"01/01/2008";"";"Não se Aplica";"";"200.003540/2008-54"
"CS-PU/20080021";"Senado Federal";"TIM S.A";"02.558.115/0001-21";"Permissão de Uso de espaço físico localizado no SENADO FEDERAL no Anexo II - Bloco A - subsolo; no Anexo II - Bloco B - subsolo e no Anexo II - Bloco C - Estacionamento dos Senadores, com área de 9,0m², para instalação de um equipamento de telefonia ""indoor"" de propriedade da empresa TIM Celular S/A.";"01/01/2008";"19/05/2008";"01/01/2008";"";"Não se Aplica";"";"200.001836/2008-31"
"CS-CS/20080008";"Senado Federal";"VAUTERLIM ARAÚJO DA SILVA E OUTROS";"287.464.143-04";"Permissão de Uso do espaço físico localizado no Edificio Principal, 1º Pavimento, do Senado Federal, com área de 54,18m², para uso e exploração dos servidos de Barbearia, Engraxatária, Manicure e Pedicuro, bem como de 4(quatro) linhas telefonicas.";"01/01/2008";"15/04/2008";"01/01/2008";"";"Não se Aplica";"";"200.002175/2008-61"
"CS-CS/20080020";"Senado Federal";"VIVO S. A.";"02.449.992/0155-10";"Permissão de Uso do espaço físico, localizado no Senado, Anexo II, Bloco A, subsolo; Anexo II, Bloco B, subsolo e Anexo II, Bloco C - Estacionamento Oficial dos Servidores, com área de 13,20m², para instalação de um equip. de telefonia ""indoor"" da VIVO.";"01/01/2008";"15/05/2008";"01/01/2008";"";"Não se Aplica";"";"200.002913/2008-70"
"CT-CT/20090045";"Senado Federal";"FUNDAÇÃO GETÚLIO VARGAS - FGV.";"33.641.663/0001-44";"Prestação de serviços técnicos especializados destinados à revisão da estrutura organizacional administrativa e da sistemática de classificação e remuneração de cargos de provimento em comissão e funções comissionadas, mediante uma proposta de reestruturação administrativa e funcional ao Senado Federal.";"22/06/2009";"16/06/2009";"22/06/2009";"";"Dispensa";"";"200.008375/2009-16"
"CT-CT/20090011";"Senado Federal";"MAGNATEL PRODUTORA E DISTRIBUIDORA DE PROGRAMAS DE TELEVISÃO E CINEMA LTDA";"30.696.843/0001-35";"Cessao de direitos autoriais de músicas, para a confecção e distribuição não-comercial de kits de DVDs do programa ""Quem tem medo da música clássica"".";"25/03/2009";"10/03/2009";"25/03/2009";"";"Inexigibilidade";"";"200.021723/2008-51"
"CS-CS/20100006";"Senado Federal";"BANCO BRADESCO S.A.";"60.746.948/0001-12";"Permissão de Uso do espaço físico localizado no Edifício Anexo II, Bloco A do hall de entrada do SENADO FEDERAL, com área de 4,00m² (quatro metros quadrados), para instalação de equipamento de um caixa eletrônico do Banco Bradesco S.A.";"01/09/2010";"22/09/2010";"01/09/2010";"";"Não se Aplica";"";"200.014205/2010-04"
"CN-AC/20100051";"Senado Federal";"CÂMARA DOS DEPUTADOS - CD.";"00.530.352/0001-59";"Estabelecer mecanismos de cooperação entre a Câmara dos Deputados e o SENADO FEDERAL, a fim de promover a coedição, distribuição e venda conjunta das publicações editadas pelas duas Casas Legislativas, bem como sua divulgação e disseminação.";"08/11/2010";"16/11/2010";"08/11/2010";"";"Não se Aplica";"";"200.032076/2010-28"
"CT-CT/20100149";"Senado Federal";"CONSTRUTORA ENGEMEGA LTDA";"33.480.104/0001-08";"Contratação de empresa especializada de engenharia para a execução da reforma da Secretaria de Taquigrafia do SENADO FEDERAL - STAQ/SF.";"30/12/2010";"10/01/2011";"30/12/2010";"";"Tomada de Preços";"00062010";"200.011667/2009-28"
"CS-CS/20100001";"Senado Federal";"EDGAR BENÍCIO ROSA";"296.065.781-00";"Outorga de licença de software EBRplaySF com atualização de versões, em caráter gratuito, não exclusivo e intransferível.";"08/02/2010";"10/02/2010";"08/02/2010";"";"Não se Aplica";"";"200.019592/2009-23"
"CT-CT/20100121";"Senado Federal";"LTA RH INFORMÁTICA COMÉRCIO E REPRESENTAÇÕES LTDA";"94.316.916/0003-60";"Contratação de empresa especializada para o fornecimento e instalação de 01 (um) rack para servidores X86 Tipo 3 - 16 GB, marca/fabricante DELL, modelo POWEREDGE 4220, para o SENADO FEDERAL, com garantia de fabricação pelo prazo de 36 (trinta e seis) meses, a contar da emissão do Termo de Recebimento Definitivo do Objeto Contratual.";"26/11/2010";"08/12/2010";"26/11/2010";"";"Ata Reg. Preços";"00782009";"200.024911/2010-56"
"CT-CT/20100101";"Senado Federal";"MARIA ANNA ANTONIETTA PERETTI-ME";"09.794.645/0001-18";"Prestação de consultoria técnica especializada pela artista plástica Marianne Peretti para a restauração da obra de arte Painel Alumbramento, de sua autoria, e locação do mesmo em local a ser definido juntamente com a contratada.";"14/10/2010";"16/08/2010";"14/10/2010";"";"Inexigibilidade";"";"200.025217/2009-12"
"CT-CT/20100074";"Senado Federal";"NORMATEL ENGENHARIA LTDA.";"05.353.545/0001-03";"Reforma e atualização tecnológica das instalações técnicas sob o teto do Plenário do SENADO FEDERAL e pavimento superior, mantendo-se as características arquitetônicas originais.";"11/08/2010";"17/08/2010";"11/08/2010";"";"Concorrência";"00022010";"200.006696/2010-10"
"CT-CC/20100181";"Senado Federal";"ORTOBRAS INDÚSTRIA E COMÉRCIO DE ORTOPEDIA LTDA";"31.228.836/0001-71";"Contratação de empresa especializada para promover as alterações necessárias no elevador de acessibilidade a Galeria do Plenário do SENADO FEDERAL, com base na Norma NBR 12892, visando aumentar a segurança dos usuários.";"30/12/2010";"";"30/12/2010";"";"Inexigibilidade";"";"200.030840/2010-21"
"CS-CS/20100009";"Senado Federal";"PLANALTO SERVICE LTDA";"02.843.359/0001-56";"Permissao de uso de espaço fisico, localizado no Bloco de Apoio nº 07, salas 7/8, do Senado, com área de 46m² (quarenta e seis metros quadrados) para instalação da Planalto Service Ltda.";"01/09/2010";"29/12/2010";"01/09/2010";"";"Não se Aplica";"";"200.027804/2010-80"
"CS-CS/20100010";"Senado Federal";"SERVEGEL APOIO ADMINISTRATIVO E SUPORTE OPERACIONAL LTDA";"01.608.603/0001-33";"Permissão de uso de espaço fisico, localizado no Bloco de Apoio nº 07, sala 15, do Senado, com área de 23m² (vinte e tres metros quadrados) para instalação da SERVEGEL APOIO ADMINISTRATIVO E SUPORTE OPERACIONAL LTDA.";"01/09/2010";"30/12/2010";"01/09/2010";"";"Não se Aplica";"";"200.026509/2010-14"
"CS-CS/20100008";"Senado Federal";"TRIBUNAL DE CONTAS DA UNIÃO - TCU.";"00.414.607/0001-18";"Cessão de uso de espaço físico, localizado na Sala 7 do 8º Andar do Anexo I do SENADO FEDERAL, com área de 29,08m², para instalação da ASSESSORIA PARLAMENTAR DO TRIBUNAL DE CONTAS DA UNIÃO - TCU.";"17/12/2010";"21/12/2010";"17/12/2010";"";"Não se Aplica";"";"200.005807/2010-62"
"PI-PI/20100026";"Senado Federal";"TRIBUNAL REGIONAL FEDERAL DA 1ª REGIÃO - TRF.";"03.658.507/0001-25";"Estabelecer a cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesse comum entre o SENADO FEDERAL/ILB e o Tribunal Regional Federal - TRF - da 1ª REGIÃO.";"08/11/2010";"23/11/2010";"23/11/2010";"22/11/2020";"Não se Aplica";"";"200.033393/2010-61"
"CS-CS/20110003";"Senado Federal";"ASCIP - ASSOCIAÇÃO DOS SERVIDORES DO PRODASEN";"03.495.660/0001-89";"Cessão de uso de espaço físico, localizado na Via N-2 - Anexo ""C"" do SENADO FEDERAL, na Secretaria Especial de Informática - SEI/PRODASEN - com área de 17,15 m², para instalação da Associação dos Servidores do PRODASEN - ASCIP.";"01/08/2011";"11/08/2011";"01/08/2011";"";"Não se Aplica";"";"200.003579/2010-96"
"PI-PI/20110005";"Senado Federal";"ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO NORTE";"08.493.371/0001-64";"Estabelecer a cooperação técnico-científica e cultural, o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades de interesses comuns entre o SENADO FEDERAL/ILB e a Assembleia Legislativa do Estado do Rio Grande do Norte - ALERN.";"30/08/2011";"31/08/2011";"31/08/2011";"30/08/2021";"Não se Aplica";"";"200.010152/2011-25"
"CS-CS/20110009";"Senado Federal";"BANCO DE BRASÍLIA S.A - BRB.";"00.000.208/0001-00";"Cessão de uso de espaço físico, localizado no Anexo II - Bloco ""A"" - do SENADO FEDERAL, com área de 4,00m² (quatro metros quadrados) para a instalação de terminal de auto-atendimento do Banco de Brasília S.A - BRB.";"23/12/2011";"28/11/2011";"23/12/2011";"";"Não se Aplica";"";"200.015399/2011-38"
"CT-CT/20110083";"Senado Federal";"BARRETO MUNIZ CONSTRUÇÃO E ENGENHARIA LTDA.";"10.782.736/0001-12";"Contratação de empresa de engenharia especializada para reforma do Gabinete do Senador Vital do Rego, localizado no 1º pavimento do Bloco ""A"" - na Ala Senador Teotônio Vilela - Gabinete nº 22 - do SENADO FEDERAL .";"22/08/2011";"25/08/2011";"22/08/2011";"";"Dispensa";"";"200.003797/2011-10"
"PI-PI/20110003";"Senado Federal";"FUNDAÇÃO UNIVERSIDADE DO SUL DE SANTA CATARINA - UNISUL";"86.445.293/0001-36";"Estabelecer cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesses comuns entre o SENADO FEDERAL/ILB e a Fundação Universidade do Sul de Santa Catarina - UNISUL.";"02/05/2011";"04/05/2011";"04/05/2011";"03/05/2021";"Não se Aplica";"";"200.029716/2010-12"
"CT-CT/20110014";"Senado Federal";"GIGAHERTZ  ENGENHARIA LTDA.";"01.196.288/0001-84";"Execução física do projeto de execução de obra para reforma da sala dos transmissores na RTV - SENADO, na cidade de Fortaleza-CE.";"22/03/2011";"28/03/2011";"22/03/2011";"";"Dispensa";"";"200.007922/2010-71"
"CT-CT/20110011";"Senado Federal";"METALUM ENGENHARIA LTDA. - EPP";"24.930.216/0001-14";"Contratação de empresa de engenharia especializada para reforma dos apartamentos 402 e 404 do Bloco ""C"", 101, 403 e 603 do Bloco ""D"" e 101, 203 e 301 do Bloco ""G"" da SQS 309 de propriedade do SENADO FEDERAL.";"17/03/2011";"21/03/2011";"17/03/2011";"";"Pregão Eletrônico";"00252011";"200.009793/2010-56"
"CN-AC/20110002";"Senado Federal";"MINISTÉRIO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO - MPOG.";"00.397.548/0003-89";"Permitir, com base na faculdade estatuída no § 2º do art. 34 da Lei 8.666/1993, na Instrução Normativa nº 2, de 11 de outubro de 2010, no Decreto nº 1.094, de 23 de março de 1994, no art. 2º do Decreto nº 5.450, de 31 de maio de 2005 e as disposições do Art. 102, da Lei nº 12.309, de 09 de agosto de 2010, o acesso amplo à base de dados, em meio digital, do SENADO FEDERAL ao Sistema Integrado de Administração de Serviços Gerais - SIASG - do Ministério do Planejamento, Orçamento e Gestão - MPOG.";"13/05/2011";"";"13/05/2011";"12/05/2021";"Não se Aplica";"";"200.029016/2010-28"
"CS-CS/20110005";"Senado Federal";"POLÍCIA CÍVIL DO DISTRITO FEDERAL - PCDF.";"37.115.482/0001-35";"Cessão de uso de espaço físico, localizado no Anexo I, 27º andar, sala nº 10, com área de 25,84m² (vinte e cinco metros e oitenta e quatro centímetros quadrados) para instalação da Assessoria Parlamentar da POLÍCIA CIVIL DO DF.";"05/12/2011";"07/12/2011";"05/12/2012";"";"Não se Aplica";"";"200.018949/2011-71"
"CS-CS/20110004";"Senado Federal";"POLÍCIA FEDERAL - ASSESSORIA PARLAMENTAR - DPF.";"00.394.494/0014-50";"Cessão de Uso de espaço físico localizado no Anexo I, 12º andar, sala 10, do SENADO FEDERAL, com área de 24,45 m² (vinte e quatro e quarenta e cinco metros quadrados) para instalação da Assessoria Parlamentar da Polícia Federal - DPF.";"09/11/2011";"14/11/2011";"09/11/2011";"";"Não se Aplica";"";"200.018948/2011-26"
"TE-TD/20110001";"Senado Federal";"PRESIDÊNCIA DA REPÚBLICA - SECRETARIA DE ADMINISTRAÇÃO.";"00.944.411/0001-09";"Doação de acervo mobiliário pertencente ao SENADO FEDERAL, por livre e espontânea vontade, a Presidência da República, através da Secretaria de Administração da Casa Cívil, sem encargo de qualquer natureza ao DONATÁRIO.";"07/11/2011";"22/11/2011";"07/11/2011";"";"Não se Aplica";"";"200.002072/2010-15"
"CN-AC/20110008";"Senado Federal";"SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC - ADMINISTRAÇÃO NACIONAL.";"33.469.172/0001-68";"Realizar ações que promovam a preparação de pessoas de forma adequada a sua inserção no mercado de trabalho, na área de gastronomia, bem como desenvolver atividades voltadas ao aperfeiçoamento profissional, social e cultural, mediante a implantação de empresas pedagógicas nas dependências do SENADO FEDERAL.";"26/01/2011";"27/01/2011";"26/01/2011";"25/01/2021";"Não se Aplica";"";"200.032972/2010-97"
"PI-PI/20110010";"Senado Federal";"TRIBUNAL DE CONTAS DO ESTADO DA PARAÍBA - TCE-PB.";"09.283.110/0001-82";"Estabelecer a cooperação técnico-científica e cultural, o intercãmbio de conhecimento, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades de interesses comuns entre o SENADO FEDERAL/ILB e o Tribunal de Contas do Estado da Paraíba - TCE-PB.";"02/12/2011";"02/12/2011";"02/12/2011";"01/12/2021";"Não se Aplica";"";"200.033530/2010-68"
